Date,Open,High,Low,Close,Adj Close,Volume
2020-02-20,9629.328125,9507.899414,9643.219727,9608.473633,9608.473633,0
2020-02-21,9611.780273,9589.741211,9723.010742,9686.440430,9686.440430,0
2020-02-24,9921.580078,9537.043945,9951.744141,9650.171875,9650.171875,0
2020-02-25,9651.317383,9305.017578,9652.733398,9341.708984,9341.708984,0
2020-02-26,9338.289063,8704.424805,9354.782227,8820.520508,8820.520508,0
2020-02-27,8825.096680,8577.197266,8932.894531,8784.490234,8784.490234,0
2020-02-28,8788.728516,8492.929688,8890.453125,8672.455078,8672.455078,0
2020-03-02,8563.264648,8532.633789,8921.306641,8869.666992,8869.666992,0
2020-03-03,8865.389648,8704.993164,8901.595703,8787.786133,8787.786133,0
2020-03-04,8788.542969,8712.432617,8843.367188,8755.249023,8755.249023,0
2020-03-05,8760.288086,8757.256836,9142.054688,9078.759766,9078.759766,0
2020-03-06,9078.306641,9032.077148,9167.693359,9122.547852,9122.547852,0
2020-03-09,8111.148926,7690.095215,8177.791504,7923.647949,7923.647949,0
2020-03-10,7922.146973,7814.764648,8136.947754,7909.727539,7909.727539,0
2020-03-11,7910.090820,7642.811523,7950.813477,7911.429688,7911.429688,0
2020-03-12,7913.615234,4860.354980,7929.113281,4970.786621,4970.786621,0
2020-03-13,5017.831055,4106.980469,5838.113770,5563.706543,5563.706543,0
2020-03-16,5385.229492,4575.358887,5385.229492,5014.479492,5014.479492,0
2020-03-17,5002.579102,4981.908203,5371.348145,5225.629883,5225.629883,0
2020-03-18,5227.112793,5069.335938,5331.834961,5238.437988,5238.437988,0
2020-03-19,5245.416992,5236.967285,6329.734863,6191.191406,6191.191406,0
2020-03-20,6191.655273,5865.780273,6844.261230,6198.778809,6198.778809,0
2020-03-23,5831.376465,5785.004883,6443.934570,6416.314941,6416.314941,0
2020-03-24,6436.642578,6411.065918,6789.022949,6734.804688,6734.804688,0
2020-03-25,6738.717285,6536.926270,6892.511719,6681.062500,6681.062500,0
2020-03-26,6675.170898,6590.962891,6735.462891,6716.439941,6716.439941,0
2020-03-27,6719.386719,6466.703125,6793.838379,6469.799316,6469.799316,0
2020-03-30,5925.539551,5903.232910,6517.197266,6429.842773,6429.842773,0
2020-03-31,6430.607422,6374.160645,6504.513672,6438.644531,6438.644531,0
2020-04-01,6437.317871,6202.373535,6612.576172,6606.778809,6606.778809,0
2020-04-02,6606.778809,6595.918945,7088.247070,6793.625977,6793.625977,0
2020-04-03,6797.398438,6673.335938,7003.223145,6733.385254,6733.385254,0
2020-04-06,6788.050781,6782.889160,7271.780762,7271.780762,7271.780762,0
2020-04-07,7273.642578,7136.714844,7427.941895,7176.412109,7176.412109,0
2020-04-08,7179.281738,7153.305664,7356.224121,7334.099121,7334.099121,0
2020-04-09,7337.968750,7179.096191,7341.448730,7302.089844,7302.089844,0
2020-04-10,7303.817383,6802.476074,7303.817383,6865.491211,6865.491211,0
2020-04-13,6965.617188,6668.258301,6965.617188,6845.039063,6845.039063,0
2020-04-14,6843.282715,6793.820313,6958.554688,6842.426270,6842.426270,0
2020-04-15,6845.559570,6633.402344,6928.662109,6642.108887,6642.108887,0
2020-04-16,6640.454590,6555.502930,7134.449219,7116.804688,7116.804688,0
2020-04-17,7116.551270,7050.331543,7167.184570,7096.184082,7096.184082,0
2020-04-20,7186.871582,6835.503418,7240.291016,6881.957520,6881.957520,0
2020-04-21,6879.783691,6834.442871,6934.552734,6880.323730,6880.323730,0
2020-04-22,6879.438477,6867.783203,7145.863770,7117.209473,7117.209473,0
2020-04-23,7121.305176,7081.596191,7491.787598,7429.723633,7429.723633,0
2020-04-24,7434.181641,7434.181641,7574.196777,7550.902344,7550.902344,0
2020-04-27,7679.417480,7679.417480,7795.599121,7795.599121,7795.599121,0
2020-04-28,7796.972656,7730.807129,7814.526367,7807.059082,7807.059082,0
2020-04-29,7806.711426,7786.051758,8871.752930,8801.035156,8801.035156,0
2020-04-30,8797.666992,8533.252930,9440.651367,8658.555664,8658.555664,0
2020-05-01,8672.778320,8667.764648,9048.021484,8864.768555,8864.768555,0
2020-05-04,8895.745117,8645.022461,8956.905273,8912.655273,8912.655273,0
2020-05-05,8912.831055,8856.823242,9062.412109,9003.072266,9003.072266,0
2020-05-06,9007.443359,8966.704102,9411.463867,9268.759766,9268.759766,0
2020-05-07,9261.891602,9138.320313,9992.666016,9951.515625,9951.515625,0
