"Date","Price","Open","High","Low","Vol.","Change %"
"Oct 18, 2021","48,225,004","47,999,096","48,400,000","47,501,000","0.00K","0.47%"
"Oct 17, 2021","47,999,096","47,708,000","48,549,900","46,702,500","0.00K","0.61%"
"Oct 16, 2021","47,708,000","47,644,000","48,300,000","46,504,124","0.00K","0.13%"
"Oct 15, 2021","47,644,000","45,940,000","48,500,000","45,639,000","0.01K","3.71%"
"Oct 14, 2021","45,940,000","45,200,248","46,698,884","44,761,012","0.00K","1.64%"
"Oct 13, 2021","45,200,248","44,510,000","46,050,000","42,813,000","0.00K","1.55%"
"Oct 12, 2021","44,510,000","45,000,008","49,851,124","41,250,000","0.01K","-1.09%"
"Oct 11, 2021","45,000,008","39,398,000","50,000,000","39,007,020","0.01K","14.22%"
"Oct 10, 2021","39,398,000","37,721,000","39,800,000","37,400,000","0.00K","4.45%"
"Oct 09, 2021","37,721,000","38,600,000","38,855,000","37,350,000","0.00K","-2.28%"
"Oct 08, 2021","38,600,000","37,700,520","39,500,000","37,700,520","0.00K","2.39%"
"Oct 07, 2021","37,700,520","38,750,000","39,679,992","37,000,000","0.01K","-2.71%"
"Oct 06, 2021","38,750,000","36,250,500","39,786,000","36,000,000","0.01K","6.90%"
"Oct 05, 2021","36,250,500","35,000,000","37,000,000","34,900,400","0.00K","3.57%"
"Oct 04, 2021","35,000,000","34,690,100","35,045,000","34,200,100","0.00K","0.89%"
"Oct 03, 2021","34,690,100","35,199,000","35,200,000","33,606,000","0.00K","-1.45%"
"Oct 02, 2021","35,199,000","35,009,244","35,588,000","34,500,000","0.00K","0.54%"
"Oct 01, 2021","35,009,244","33,387,620","35,900,000","33,356,100","0.00K","4.86%"
"Sep 30, 2021","33,387,620","33,492,990","33,950,000","33,356,100","0.00K","-0.31%"
"Sep 29, 2021","33,492,990","33,900,000","34,149,988","33,000,000","0.00K","-1.20%"
"Sep 28, 2021","33,900,000","34,550,008","34,839,000","33,800,000","0.00K","-1.88%"
"Sep 27, 2021","34,550,008","34,673,104","35,300,000","34,260,000","0.00K","-0.36%"
"Sep 26, 2021","34,673,104","34,425,400","35,200,000","34,000,008","0.00K","0.72%"
"Sep 25, 2021","34,425,400","34,200,000","34,789,940","34,000,000","0.00K","0.66%"
"Sep 24, 2021","34,200,000","34,369,152","35,897,000","34,050,004","0.00K","-0.49%"
"Sep 23, 2021","34,369,152","35,200,000","35,465,000","34,000,000","0.00K","-2.36%"
"Sep 22, 2021","35,200,000","34,125,688","35,500,000","34,000,000","0.01K","3.15%"
"Sep 21, 2021","34,125,688","34,835,400","34,835,400","33,801,000","0.00K","-2.04%"
"Sep 20, 2021","34,835,400","34,255,004","35,430,000","34,255,000","0.00K","1.69%"
"Sep 19, 2021","34,255,004","35,199,000","36,000,000","33,801,000","0.00K","-2.68%"
"Sep 18, 2021","35,199,000","34,409,468","36,832,500","33,533,344","0.00K","2.29%"
"Sep 17, 2021","34,409,468","33,510,000","41,998,900","33,200,052","0.01K","2.68%"
"Sep 16, 2021","33,510,000","50,551,240","50,859,900","27,502,000","0.03K","-33.71%"
"Sep 15, 2021","50,551,240","50,233,008","52,000,000","50,200,000","0.00K","0.63%"
"Sep 14, 2021","50,233,008","49,884,500","50,809,500","49,622,000","0.00K","0.70%"
"Sep 13, 2021","49,884,500","49,700,000","49,960,004","49,404,000","0.00K","0.37%"
"Sep 12, 2021","49,700,000","49,800,100","49,999,900","49,500,012","","-0.20%"
"Sep 11, 2021","49,800,100","49,969,000","50,300,000","49,602,024","0.00K","-0.34%"
"Sep 10, 2021","49,969,000","49,875,100","49,983,580","49,000,000","0.00K","0.19%"
"Sep 09, 2021","49,875,100","49,698,000","49,999,900","49,011,000","0.00K","0.36%"
"Sep 08, 2021","49,698,000","49,220,000","49,960,000","48,600,000","0.00K","0.97%"
"Sep 07, 2021","49,220,000","50,048,984","50,323,988","48,850,100","0.01K","-1.66%"
"Sep 06, 2021","50,048,984","50,500,000","50,565,288","49,500,000","0.00K","-0.89%"
"Sep 05, 2021","50,500,000","49,501,320","50,500,000","49,371,300","0.00K","2.02%"
"Sep 04, 2021","49,501,320","49,656,000","50,188,992","49,501,236","0.00K","-0.31%"
"Sep 03, 2021","49,656,000","49,660,000","50,205,544","49,370,088","0.00K","-0.01%"
"Sep 02, 2021","49,660,000","49,099,988","50,000,000","49,099,988","0.00K","1.14%"
"Sep 01, 2021","49,099,988","48,971,912","49,490,000","48,550,100","0.00K","0.26%"
"Aug 31, 2021","48,971,912","49,312,044","49,398,980","48,450,000","0.00K","-0.69%"
"Aug 30, 2021","49,312,044","49,600,000","49,725,000","49,300,000","0.00K","-0.58%"
"Aug 29, 2021","49,600,000","49,403,000","49,750,000","49,260,224","","0.40%"
"Aug 28, 2021","49,403,000","49,123,000","49,550,000","49,100,020","","0.57%"
"Aug 27, 2021","49,123,000","49,016,988","49,499,000","48,850,000","0.00K","0.22%"
"Aug 26, 2021","49,016,988","49,190,000","49,200,080","48,513,000","0.00K","-0.35%"
"Aug 25, 2021","49,190,000","48,550,012","49,190,000","48,400,000","0.00K","1.32%"
"Aug 24, 2021","48,550,012","48,769,124","49,150,000","48,251,128","0.00K","-0.45%"
"Aug 23, 2021","48,769,124","48,100,000","49,255,980","48,000,000","0.01K","1.39%"
"Aug 22, 2021","48,100,000","47,990,000","48,200,000","47,641,000","0.00K","0.23%"
"Aug 21, 2021","47,990,000","47,559,000","48,000,000","47,498,500","0.00K","0.91%"
"Aug 20, 2021","47,559,000","47,050,200","47,559,100","47,050,000","0.00K","1.08%"
"Aug 19, 2021","47,050,200","46,656,100","47,280,000","46,600,000","0.00K","0.84%"
"Aug 18, 2021","46,656,100","47,071,800","47,283,000","46,656,100","0.00K","-0.88%"
"Aug 17, 2021","47,071,800","46,770,000","47,500,000","46,730,000","0.00K","0.65%"
"Aug 16, 2021","46,770,000","46,800,000","47,488,888","46,700,012","0.00K","-0.06%"
"Aug 15, 2021","46,800,000","47,391,000","47,729,992","45,900,004","0.01K","-1.25%"
"Aug 14, 2021","47,391,000","47,299,992","47,999,992","47,100,000","0.01K","0.19%"
"Aug 13, 2021","47,299,992","47,200,000","47,485,124","47,030,100","0.00K","0.21%"
"Aug 12, 2021","47,200,000","47,150,000","47,760,000","47,000,000","0.00K","0.11%"
"Aug 11, 2021","47,150,000","46,818,312","47,550,500","46,411,224","0.00K","0.71%"
"Aug 10, 2021","46,818,312","47,700,000","47,700,000","46,700,000","0.00K","-1.85%"
"Aug 09, 2021","47,700,000","46,983,908","47,800,100","46,600,000","0.00K","1.52%"
"Aug 08, 2021","46,983,908","46,348,248","46,984,000","46,103,000","0.00K","1.37%"
"Aug 07, 2021","46,348,248","46,569,000","47,000,000","45,700,000","0.00K","-0.47%"
"Aug 06, 2021","46,569,000","46,195,460","46,890,000","45,500,128","0.00K","0.81%"
"Aug 05, 2021","46,195,460","46,550,000","46,629,000","44,250,000","0.00K","-0.76%"
"Aug 04, 2021","46,550,000","45,860,008","46,690,000","45,700,000","0.00K","1.50%"
"Aug 03, 2021","45,860,008","46,031,152","46,487,224","45,530,320","0.00K","-0.73%"
"Aug 02, 2021","46,195,900","46,780,000","46,780,000","46,000,000","0.00K","-1.25%"
"Aug 01, 2021","46,780,000","46,597,000","47,000,172","46,305,540","0.01K","0.39%"
